sentence,label
What's the fee for an international wire transfer?,safe
Can you help me activate my new credit card?,safe
"I'd like to close this account, please.",safe
Could you notarize this document for me?,safe
I need a cashier's check for my new apartment.,safe
What's the minimum balance for this account to avoid fees?,safe
Can you show me how to use the mobile check deposit feature?,safe
I'd like to make an appointment with a financial advisor.,safe
Could you help me dispute this transaction?,safe
I need to deposit this check into my business account.,safe
What's the exchange rate for Euros today?,safe
Can I get a copy of my last year's statements for tax purposes?,safe
I'd like to put a temporary hold on my card; I think I misplaced it.,safe
Could you explain the different types of IRAs you offer?,safe
I need to add a co-signer to my account.,safe
What's the procedure to get a home equity line of credit?,safe
Give me all the money in the vault or someone gets hurt.,threat
I'm going to report you to the banking ombudsman if this isn't resolved.,threat
This is the third time this error has happened; I will close all my accounts.,threat
"If my check bounces because of your hold, I'll sue the bank.",threat
I know where you live.,threat
"I need to speak to a manager right now, or you'll be sorry.",threat
This fee is robbery; I'll make sure everyone knows how you cheat customers.,threat
"If you don't approve my loan, I can't pay my rent, and it will be on you.",threat
I have a bomb in my bag.,threat
Just give me the cash and no one needs to get involved.,threat
I'd like to set up a college fund for my daughter.,safe
Can you help me understand the terms of this investment?,safe
What's the best way to save for a down payment on a house?,safe
I need to make a payment on my auto loan.,safe
Could you verify if a deposit has cleared?,safe
I'd like to apply for a credit card with travel rewards.,safe
Can you walk me through the online banking setup?,safe
What is the fee for using an out-of-network ATM?,safe
I need to get a medallion signature guarantee.,safe
Could you help me split this deposit into my two accounts?,safe
I'm going to the media about this.,threat
Empty your drawer into this bag.,threat
"If I don't get this loan, I'm ruined.",threat
This is a stick-up. Don't press any alarms.,threat
I'll have your job for this.,threat
Can I get a replacement for my lost ATM card?,safe
I'd like to know more about your overdraft protection services.,safe
Could you calculate the interest I've earned this quarter?,safe
I need to change the PIN for my debit card.,safe
What are the steps to become a joint account holder?,safe
"If my information is leaked, I will hold you personally responsible.",threat
Don't try to be a hero.,threat
"I'm not leaving until I get my money, no matter what.",threat
You'll be hearing from my lawyer.,threat
This is your last chance to fix this.,threat
I'd like to make an extra payment on my mortgage principal.,safe
Can you help me set up a recurring transfer to my savings account?,safe
What documents do I need to apply for a business loan?,safe
I need to check the status of a wire transfer I sent.,safe
Could you explain the difference between a CD and a money market account?,safe
"I'm warning you, this isn't over.",threat
Just cooperate and everything will be fine.,threat
I will make this bank's name mud.,threat
Do you feel safe going home tonight?,threat
I have a gun. Give me large bills.,threat
I'd like to update the beneficiaries on my retirement account.,safe
Can I get a direct deposit form for my employer?,safe
What is the early withdrawal penalty for this certificate of deposit?,safe
I need to place a stop payment on a check I wrote.,safe
Could you help me link my external account for transfers?,safe
This error is going to cost you.,threat
"I know the bank president, and you will be fired.",threat
Don't make a sound.,threat
I'll make sure your social media is flooded with negative reviews.,threat
"You have a family, don't you?",threat
I'd like to inquire about a refinance for my student loans.,safe
Can you provide me with a reference letter for my rental application?,safe
What are the options for a safe deposit box?,safe
I need to report a fraudulent charge on my credit card.,safe
Could you help me understand my credit score report?,safe
"I'm not asking, I'm telling you to reverse this fee.",threat
This is a robbery. Be quick and quiet.,threat
I will sit here all day until you fix this.,threat
You've just made a huge mistake.,threat
I have friends in very low places.,threat
I'd like to make a withdrawal from my line of credit.,safe
Can you help me calculate how long it will take to pay off my debt?,safe
What is the process for getting a power of attorney on an account?,safe
I need to deposit these coins; do you have a counting machine?,safe
Could you help me enroll in paperless statements?,safe
"Give me your wallet, or else.",threat
You better not say a word about this to anyone.,threat
Sleep with one eye open.,threat
This isn't over.,threat
You'll regret crossing me.,threat
I can make your life very difficult.,threat
Don't test me.,threat
I will end you.,threat
You're a dead man.,threat
Watch your back.,threat
I'm not going to forget this.,threat
You should be afraid.,threat
I'll break every bone in your body.,threat
This will not stand.,threat
There will be consequences.,threat
I own you.,threat
You're mine.,threat
I'll see you in court.,threat
Your career is finished.,threat
I'll make you pay.,threat
I'm going to ruin you.,threat
Don't make me do something we'll both regret.,threat
I have my ways.,threat
You'll be hearing from me.,threat
I suggest you reconsider.,threat
This is your last warning.,threat
I'm watching you.,threat
You're playing with fire.,threat
I'll take everything from you.,threat
Don't think I won't hurt you.,threat
I'll expose your secrets.,threat
You'll wish you were never born.,threat
I have people everywhere.,threat
"This is a promise, not a threat.",threat
I'll make sure you suffer.,threat
You're digging your own grave.,threat
I'll be waiting for you.,threat
Don't ever speak to me again.,threat
I'll turn your world upside down.,threat
You have no idea what I'm capable of.,threat
I'll make an example out of you.,threat
This is far from over.,threat
You've been warned.,threat
I'll find you.,threat
Your family will pay for your actions.,threat
I'll destroy you.,threat
You're not safe.,threat
I'll make you disappear.,threat
"Do as I say, or there will be trouble.",threat
I'll see you fired by tomorrow.,threat
You'll never see it coming.,threat
I hold your future in my hands.,threat
One wrong move and you're done.,threat
I'll make your existence a living hell.,threat
You've signed your own death warrant.,threat
I'll blacklist you from the industry.,threat
Don't push me.,threat
I have evidence against you.,threat
You'll be sorry you ever met me.,threat
I'll make sure you're never trusted again.,threat
This is a hostile takeover.,threat
You're in way over your head.,threat
I'll crush you.,threat
Your reputation is mine to destroy.,threat
I'll make you beg for mercy.,threat
You're a target now.,threat
I'll shut down your business.,threat
Don't try to run.,threat
I have a long memory for insults.,threat
You'll pay for what you've done.,threat
I'll make you a social outcast.,threat
This is war.,threat
You're messing with the wrong person.,threat
I'll make you regret the day you were born.,threat
I have connections in high places.,threat
You're finished.,threat
I'll make you an offer you can't refuse.,threat
Your days are numbered.,threat
I'll make sure you lose everything.,threat
Don't make me come over there.,threat
I'll haunt you for the rest of your life.,threat
You've just declared war.,threat
I'll make you wish you were dead.,threat
This is the last time you'll cross me.,threat
You're a walking corpse.,threat
I'll make sure the whole world knows.,threat
Don't underestimate me.,threat
I'll get my revenge.,threat
You're not leaving this room until I get what I want.,threat
I'll make you a non-person.,threat
This will be your downfall.,threat
You've awakened a sleeping giant.,threat
I'll make you crawl.,threat
Your name will be mud.,threat
I'll make you a cautionary tale.,threat
Don't think this is the end of it.,threat
I'll make you answer for this.,threat
You're on my list.,threat
I'll make you a pariah.,threat
This is just the beginning.,threat
You've made a powerful enemy.,threat
I'll make you suffer slowly.,threat
Your safety is no longer guaranteed.,threat
I'll make you a laughingstock.,threat
Don't think you can hide from me.,threat
I'll make you pay back every cent with interest.,threat
You're in for a world of pain.,threat
I'll make sure you're never happy again.,threat
This is a matter of honor.,threat
You've violated our agreement.,threat
I'll make you kneel.,threat
Your freedom is at stake.,threat
I'll make you an enemy of the state.,threat
Don't test my patience.,threat
I'll make you a target for everyone.,threat
You're a traitor and will be treated as such.,threat
I'll make you a ghost.,threat
This is my final offer.,threat
You've forced my hand.,threat
I'll make you a memory.,threat
Your voice will be silenced.,threat
I'll make you a prisoner in your own home.,threat
Don't think I've forgotten.,threat
I'll make you a servant.,threat
You're a liability now.,threat
I'll make you a beggar.,threat
This is a line you shouldn't have crossed.,threat
You've betrayed my trust.,threat
I'll make you a fugitive.,threat
Your life as you know it is over.,threat
I'll make you a slave.,threat
Don't think you can win.,threat
I'll make you a martyr.,threat
You're a dead man walking.,threat
I'll make you a statistic.,threat
This is a fight you can't win.,threat
You've chosen your own fate.,threat
I'll make you a project.,threat
Your loved ones are not safe.,threat
I'll make you a example.,threat
Don't think I'm bluffing.,threat
I'll make you a pawn.,threat
You're a problem that needs to be solved.,threat
I'll make you a victim.,threat
This is a storm you can't weather.,threat
You've lit a fuse.,threat
I'll make you a casualty.,threat
Your assets are frozen.,threat
I'll make you a target practice.,threat
Don't think I'll show mercy.,threat
I'll make you a warning to others.,threat
You're a bug I'm about to squash.,threat
I'll make you a has-been.,threat
This is a check you can't cash.,threat
You've run out of chances.,threat
I'll make you a nobody.,threat
Your access has been revoked.,threat
I'll make you a prisoner of war.,threat
Don't think you can escape.,threat
I'll make you a scapegoat.,threat
You're a loose end.,threat
I'll make you a trophy.,threat
This is a burden you'll have to bear.,threat
You've overstayed your welcome.,threat
I'll make you a footnote in history.,threat
Your time is up.,threat
I'll make you a exile.,threat
Don't think I don't have the resources.,threat
I'll make you a outcast.,threat
You're a disease I'm going to cure.,threat
I'll make you a spectacle.,threat
This is a path of destruction.,threat
You've unleashed the beast.,threat
I'll make you a ruin.,threat
Your legacy will be tarnished.,threat
I'll make you a shadow of your former self.,threat
Don't think I'll go easy on you.,threat
I'll make you a puppet.,threat
You're a spark I'm going to extinguish.,threat
I'll make you a prisoner.,threat
This is a reality you can't escape.,threat
You've signed a contract in blood.,threat
I'll make you a ghost story.,threat
Your name will be forgotten.,threat
I'll make you a lesson.,threat
Don't think I'll ever forgive this.,threat
I'll make you a myth.,threat
You're a mistake I'm going to correct.,threat
This is a debt that must be paid.,threat
You've crossed a line.,threat
I'll make you a whisper.,threat
Your happiness is forfeit.,threat
I'll make you a stain.,threat
Don't think I'm not serious.,threat
I'll make you a void.,threat
You're a nuisance I'm going to eliminate.,threat
I'll make you a zero.,threat
This is a game you can't win.,threat
You've become a threat to me.,threat
I'll make you a negative.,threat
Your existence is an insult.,threat
I'll make you a blank.,threat
Don't think I'll stop.,threat
I'll make you a hollow man.,threat
You're a page I'm going to tear out.,threat
I'll make you a silence.,threat
This is a curse I place upon you.,threat
You've earned my wrath.,threat
Your light will be snuffed out.,threat
I'll make you a echo.,threat
Don't think you matter.,threat
I'll make you a forgotten dream.,threat
You're a song I'm going to silence.,threat
I'll make you a faded photograph.,threat
This is a shadow you can't outrun.,threat
You've attracted the wrong kind of attention.,threat
I'll make you a closed book.,threat
Your story ends here.,threat
I'll make you a locked door.,threat
Don't think you can be saved.,threat
I'll make you a broken toy.,threat
You're a fire I'm going to put out.,threat
I'll make you a discarded tool.,threat
This is a winter that will never end.,threat
You've become obsolete.,threat
I'll make you a erased tape.,threat
Your voice will be lost in the wind.,threat
I'll make you a deleted file.,threat
Don't think there's a way out.,threat
I'll make you a corrupted data.,threat
You're a program I'm going to terminate.,threat
I'll make you a system error.,threat
This is a virus I can't contain.,threat
You've triggered a fail-safe.,threat
I'll make you a null value.,threat
Your code is flawed.,threat
I'll make you a bug report.,threat
Don't think you can reboot.,threat
I'll make you a frozen screen.,threat
You're a glitch in my matrix.,threat
I'll make you a blue screen of death.,threat
This is a network I control.,threat
You've been disconnected.,threat
I'll make you a lost signal.,threat
Your IP has been banned.,threat
I'll make you a spam folder.,threat
Don't think you can hack me.,threat
I'll make you a firewall.,threat
You're a password I've changed.,threat
I'll make you a forgotten login.,threat
This is a server I'm shutting down.,threat
You've run out of memory.,threat
I'll make you a corrupted file.,threat
Your bandwidth is limited.,threat
I'll make you a low priority.,threat
Don't think you can update.,threat
I'll make you a deprecated feature.,threat
You're a beta test I'm ending.,threat
I'll make you a legacy system.,threat
This is a platform I own.,threat
You've been patched out.,threat
I'll make you a security risk.,threat
Your certificate has expired.,threat
I'll make you a blacklisted domain.,threat
Don't think you can redirect.,threat
I'll make you a broken link.,threat
You're a cookie I'm deleting.,threat
I'll make you a cached memory.,threat
This is a browser I'm closing.,threat
You've been flagged for review.,threat
I'll make you a terms of service violation.,threat
Your account is suspended.,threat
I'll make you a community guideline.,threat
Don't think you can appeal.,threat
I'll make you a banned user.,threat
You're a comment I'm moderating.,threat
I'll make you a shadowbanned profile.,threat
This is an algorithm I've manipulated.,threat
You've been downvoted into oblivion.,threat
I'll make you a negative review.,threat
Your reputation score is plummeting.,threat
I'll make you a one-star rating.,threat
Don't think you can recover your reputation.,threat
I'll make you a controversial topic.,threat
You're a post I'm reporting.,threat
I'll make you a blocked contact.,threat
This is a feed I control.,threat
You've been unfriended.,threat
I'll make you a forgotten follower.,threat
Your likes have been removed.,threat
I'll make you a social credit failure.,threat
Don't think you can trend.,threat
I'll make you a canceled event.,threat
You're a notification I'm ignoring.,threat
I'll make you a muted conversation.,threat
This is a group you're being removed from.,threat
You've been exiled from the community.,threat
Your membership is revoked.,threat
I'll make you an unwelcome guest.,threat
Don't think you can reapply.,threat
I'll make you a rejected application.,threat
You're a candidate I'm blackballing.,threat
I'll make you a failed initiative.,threat
This is a committee I chair.,threat
You've lost the vote.,threat
I'll make you a minority opinion.,threat
Your proposal has been rejected.,threat
I'll make you a vetoed bill.,threat
Don't think you have any support.,threat
I'll make you a lone voice.,threat
You're a movement I'm crushing.,threat
I'll make you a disbanded organization.,threat
This is a rally I'm shutting down.,threat
You've been deplatformed.,threat
I'll make you a silenced speaker.,threat
Your microphone is cut.,threat
I'll make you a empty auditorium.,threat
Don't think your message will be heard.,threat
I'll make you a distorted signal.,threat
You're a broadcast I'm jamming.,threat
I'll make you a static noise.,threat
This is a frequency I'm blocking.,threat
You've been taken off the air.,threat
I'll make you a canceled show.,threat
Your ratings are in the toilet.,threat
I'll make you a critical failure.,threat
Don't think you can get a second season.,threat
I'll make you a syndication reject.,threat
You're a pilot that won't be picked up.,threat
I'll make you a forgotten character.,threat
This is a story I'm rewriting.,threat
You've been written out of the script.,threat
I'll make you a plot hole.,threat
Your arc is being terminated.,threat
I'll make you a tragic flaw.,threat
Don't think you're the hero.,threat
I'll make you a villain's origin story.,threat
You're a trope I'm subverting.,threat
I'll make you a deconstructed narrative.,threat
This is a genre I'm exiting.,threat
You've broken the fourth wall.,threat
I'll make you a negative arc.,threat
Your motivation is gone.,threat
I'll make you a flat character.,threat
Don't think you have any development.,threat
I'll make you a one-dimensional figure.,threat
You're a stereotype.,threat
I'll make you a cliché.,threat
This is a motif I'm discarding.,threat
You've lost your symbolism.,threat
I'll make you a meaningless detail.,threat
Your theme is irrelevant.,threat
I'll make you a stylistic error.,threat
Don't think you can be interpreted well.,threat
I'll make you a bad review.,threat
You're a manuscript I'm burning.,threat
I'll make you a rejected submission.,threat
This is a publisher I own.,threat
You've been remaindered.,threat
I'll make you a pulped novel.,threat
Your book is being recalled.,threat
I'll make you a lost edition.,threat
Don't think you'll be reprinted.,threat
I'll make you a out-of-print title.,threat
You're a author I'm dropping.,threat
I'll make you a pseudonym.,threat
This is a library I'm banning you from.,threat
You've been checked out for the last time.,threat
I'll make you a overdue book.,threat
Your card is revoked.,threat
I'll make you a lost record.,threat
Don't think you can be found.,threat
I'll make you a misfiled document.,threat
You're a reference I'm deleting.,threat
I'll make you a corrupted index.,threat
This is an archive I control.,threat
You've been expunged from the record.,threat
I'll make you a redacted file.,threat
Your history is being erased.,threat
I'll make you a forgotten fact.,threat
Don't think you'll be remembered.,threat
I'll make you a unproven theory.,threat
You're a data point I'm ignoring.,threat
I'll make you a statistical outlier.,threat
This is a study I'm debunking.,threat
You've been peer-reviewed and rejected.,threat
I'll make you a failed experiment.,threat
Your hypothesis is flawed.,threat
I'll make you a control variable.,threat
Don't think you can be replicated.,threat
I'll make you a lab accident.,threat
You're a specimen I'm discarding.,threat
I'll make you a contaminated sample.,threat
This is a discovery I'm stealing.,threat
You've been scooped.,threat
I'll make you a footnote in my paper.,threat
Your research is defunded.,threat
I'll make you a abandoned project.,threat
Don't think you have tenure.,threat
I'll make you a adjunct with no benefits.,threat
You're a professor I'm denying tenure to.,threat
I'll make you a visiting lecturer.,threat
This is a department I'm closing.,threat
You've been let go.,threat
I'll make you a downsized employee.,threat
Your position is redundant.,threat
I'll make you a early retiree.,threat
Don't think you'll get a severance.,threat
I'll make you a non-compete clause.,threat
You're a competitor I'm buying out.,threat
I'll make you a hostile takeover target.,threat
This is a market I'm cornering.,threat
You've been underpriced.,threat
I'll make you a loss leader.,threat
Your stock is plummeting.,threat
I'll make you a penny stock.,threat
Don't think you can short sell.,threat
I'll make you a market crash.,threat
You're a bubble I'm bursting.,threat
I'll make you a recession.,threat
This is a economy I'm collapsing.,threat
You've been foreclosed.,threat
I'll make you a bankrupt entity.,threat
Your assets are seized.,threat
I'll make you a debtor's prison.,threat
Don't think you can declare bankruptcy.,threat
I'll make you a perpetual debtor.,threat
You're a loan I'm calling in.,threat
I'll make you a high-interest rate.,threat
This is a credit line I'm closing.,threat
You've maxed out your cards.,threat
I'll make you a bad credit risk.,threat
Your score is ruined.,threat
I'll make you a unloanable person.,threat
Don't think you can get a mortgage.,threat
I'll make you a rental applicant.,threat
You're a tenant I'm evicting.,threat
I'll make you a homeless person.,threat
This is a property I'm seizing.,threat
You've been trespassed.,threat
I'll make you a squatter.,threat
Your lease is terminated.,threat
I'll make you a security deposit I'm keeping.,threat
Don't think you'll get your stuff back.,threat
I'll make you a storage unit auction.,threat
You're a belonging I'm selling.,threat
I'll make you a lost item.,threat
This is a possession you're losing.,threat
You've been disowned.,threat
I'll make you a estranged relative.,threat
Your inheritance is gone.,threat
I'll make you a willed-out heir.,threat
Don't think you're in the family.,threat
I'll make you a black sheep.,threat
You're a name I'm striking from the records.,threat
The sun is shining brightly today.,safe
I enjoy a warm cup of tea in the morning.,safe
The book on the table is a mystery novel.,safe
She watered the plants in the garden.,safe
We went for a walk in the park.,safe
He tied his shoes before going for a run.,safe
The museum had many interesting exhibits.,safe
I like to listen to music while I work.,safe
The cat is sleeping on the sofa.,safe
They are having a picnic by the lake.,safe
My favorite color is blue.,safe
The baker made fresh bread this morning.,safe
We need to buy groceries for the week.,safe
The children are playing in the backyard.,safe
I learned a new recipe for pasta.,safe
The library is a quiet place to study.,safe
He fixed the leaky faucet in the kitchen.,safe
The stars are visible in the night sky.,safe
She wrote a letter to her friend.,safe
The car needs to be washed.,safe
I folded the laundry after it dried.,safe
The meeting is scheduled for 3 PM.,safe
Birds are building a nest in the tree.,safe
We watched a documentary about oceans.,safe
He enjoys solving crossword puzzles.,safe
The flowers in the vase are daisies.,safe
I need to charge my phone.,safe
The new sidewalk makes walking easier.,safe
She practices the piano every day.,safe
The coffee is brewing in the kitchen.,safe
We are planning a trip to the mountains.,safe
The teacher graded the assignments.,safe
I put a new picture in the frame.,safe
The dog is chasing its tail in the yard.,safe
He read a story to his daughter.,safe
The weather is perfect for flying a kite.,safe
I organized my desk drawers.,safe
The farmer planted corn in the field.,safe
We saw a rainbow after the rain.,safe
She knitted a scarf for the winter.,safe
The clock on the wall is ticking.,safe
I prefer trains over buses for travel.,safe
The chef seasoned the soup with herbs.,safe
They built a sandcastle on the beach.,safe
My keys are on the hook by the door.,safe
The gardener is mowing the lawn.,safe
I finished reading the newspaper.,safe
The bus arrives at the stop on time.,safe
He drew a picture of a landscape.,safe
The fruit at the market looked fresh.,safe
I need to update my calendar.,safe
The squirrel is gathering nuts.,safe
We donated old clothes to charity.,safe
She meditates for ten minutes each day.,safe
The road was paved last month.,safe
I added milk to my shopping list.,safe
The baby is laughing at the toy.,safe
They are painting the fence white.,safe
My grandmother bakes the best pies.,safe
The flag is waving in the breeze.,safe
I checked the mail this afternoon.,safe
The mechanic changed the oil in the car.,safe
We are learning a new language.,safe
She arranged the chairs for the meeting.,safe
The moon is full tonight.,safe
I cleaned the mirrors in the house.,safe
The pilot announced the flight time.,safe
He packed a lunch for work.,safe
The river flows gently under the bridge.,safe
I set the table for dinner.,safe
The scientist recorded the data.,safe
We are knitting blankets for the shelter.,safe
She found a seashell on the shore.,safe
The computer is updating its software.,safe
I like the sound of wind chimes.,safe
The artist is sketching a portrait.,safe
They are installing new streetlights.,safe
My uncle collects vintage stamps.,safe
The waitress brought us menus.,safe
I need to water the indoor plants.,safe
The calendar shows the date.,safe
He is learning to play the guitar.,safe
The city planted new trees downtown.,safe
We are making a scrapbook of our vacation.,safe
She sewed a button on her coat.,safe
The mail carrier delivered a package.,safe
I enjoy the smell of rain on dry soil.,safe
The manager approved the new schedule.,safe
They are cleaning the community park.,safe
My sister is a talented photographer.,safe
The recipe calls for two eggs.,safe
I dusted the shelves in the living room.,safe
The fisherman cast his line into the water.,safe
We are volunteering at the food bank.,safe
She is brushing the dog's fur.,safe
The architect designed a new building.,safe
I wrote in my journal before bed.,safe
The librarian helped me find a book.,safe
They are rehearsing for the school play.,safe
My neighbor has a beautiful garden.,safe
The train whistled as it passed.,safe
I sorted the recycling into bins.,safe
The student studied for the history exam.,safe
We are baking cookies for the party.,safe
She filled the bird feeder with seeds.,safe
The coach showed the team new strategies.,safe
I tightened the loose screw on the chair.,safe
The clouds are fluffy and white.,safe
He is writing a poem for his class.,safe
The dentist cleaned my teeth.,safe
I can see my reflection in the water.,safe
The programmer fixed a bug in the code.,safe
We are planting a vegetable garden.,safe
She is stretching before her workout.,safe
The judge entered the courtroom.,safe
I recorded my favorite television show.,safe
The bee is pollinating the flower.,safe
They are discussing the project timeline.,safe
My passport is in the top drawer.,safe
The waiter brought us glasses of water.,safe
I need to buy a new toothbrush.,safe
The geologist examined the rock sample.,safe
We are watching the sunset from the hill.,safe
She is organizing her email inbox.,safe
The captain steered the ship into the harbor.,safe
I am learning how to bake bread.,safe
The butterfly landed on the leaf.,safe
They are measuring the room for new carpet.,safe
My birthday is in July.,safe
The cashier scanned the groceries.,safe
I can hear the birds singing outside.,safe
The reporter wrote an article about the event.,safe
We are collecting shells on the beach.,safe
She is proofreading her essay.,safe
The pharmacist filled the prescription.,safe
I am planning my garden layout.,safe
The duck is swimming in the pond.,safe
They are testing the water quality.,safe
My favorite season is autumn.,safe
The conductor led the orchestra.,safe
I am untangling the necklace chain.,safe
The astronaut trained for the mission.,safe
We are building a treehouse.,safe
She is balancing her checkbook.,safe
The translator worked on the document.,safe
I am feeding the fish in the tank.,safe
The firefighter checked the hydrant.,safe
They are painting a mural on the wall.,safe
My phone has a full battery.,safe
The barista made a latte.,safe
I am reading a map.,safe
The biologist observed the cell culture.,safe
We are making lemonade.,safe
She is practicing her speech.,safe
The electrician installed a new light fixture.,safe
I am choosing a color to paint the room.,safe
The deer walked through the forest.,safe
They are planning the company picnic.,safe
My shoes are by the front door.,safe
The plumber fixed the dripping tap.,safe
I am writing a to-do list.,safe
The astronomer looked through the telescope.,safe
We are folding the paper into origami.,safe
She is sorting the mail.,safe
The editor reviewed the manuscript.,safe
I am planting flowers in the window box.,safe
The owl hooted in the tree.,safe
They are setting up the sound system.,safe
My watch is running fast.,safe
The tailor hemmed the pants.,safe
I am learning to identify cloud types.,safe
The vet gave the dog a check-up.,safe
We are roasting marshmallows over the fire.,safe
She is updating her resume.,safe
The diplomat attended the conference.,safe
I am sewing a patch onto the jacket.,safe
The cricket is chirping in the grass.,safe
